estado_saude;score
11111;1.000
11112;0.884
11113;0.832
11121;0.879
11122;0.817
11123;0.765
11131;0.746
11132;0.684
11133;0.632
11211;0.850
11212;0.789
11213;0.737
11221;0.783
11222;0.722
11223;0.670
11231;0.650
11232;0.589
11233;0.537
11311;0.741
11312;0.679
11313;0.628
11321;0.674
11322;0.612
11323;0.560
11331;0.541
11332;0.479
11333;0.427
12111;0.825
12112;0.763
12113;0.711
12121;0.757
12122;0.696
12123;0.644
12131;0.624
12132;0.563
12133;0.511
13131;0.499
13132;0.437
13133;0.386
13211;0.604
13212;0.542
13213;0.490
13221;0.537
13222;0.475
13223;0.423
13231;0.404
13232;0.342
13233;0.290
13311;0.494
13312;0.432
13313;0.381
13321;0.427
13322;0.365
13323;0.314
13331;0.294
13332;0.232
13333;0.181
21111;0.818
21112;0.756
21113;0.705
21121;0.751
21122;0.689
21123;0.638
21131;0.618
21132;0.556
21133;0.505
21211;0.723
21212;0.661
21213;0.609
21221;0.655
21222;0.594
21223;0.542
22222;0.472
22223;0.421
22231;0.401
22232;0.339
22233;0.288
22311;0.492
22312;0.430
22313;0.378
22321;0.425
22322;0.363
22323;0.311
22331;0.292
22332;0.230
22333;0.178
23111;0.571
23112;0.509
23113;0.458
23121;0.504
23122;0.442
23123;0.391
23131;0.371
23132;0.309
23133;0.258
23211;0.476
23212;0.414
23213;0.362
23221;0.409
23222;0.347
23223;0.295
23231;0.276
23232;0.214
23233;0.162
23311;0.366
23312;0.305
23313;0.253
23321;0.299
31313;0.224
31321;0.270
31322;0.209
31323;0.157
31331;0.137
31332;0.076
31333;0.024
32111;0.421
32112;0.359
32113;0.308
32121;0.354
32122;0.292
32123;0.241
32131;0.221
32132;0.159
32133;0.108
32211;0.326
32212;0.264
32213;0.212
32221;0.259
32222;0.197
32223;0.145
32231;0.126
32232;0.064
32233;0.012
32311;0.216
32312;0.154
32313;0.103
32321;0.149
32322;0.087
32323;0.036
32331;0.016
32332;-0.046
32333;-0.097
33111;0.296
33112;0.234
12211;0.729
12212;0.667
12213;0.616
12221;0.662
12222;0.600
12223;0.549
12231;0.529
12232;0.467
12233;0.416
12311;0.620
12312;0.558
12313;0.506
12321;0.552
12322;0.491
12323;0.439
12331;0.419
12332;0.358
12333;0.306
13111;0.699
13112;0.637
13113;0.586
13121;0.632
13122;0.570
13123;0.519
21231;0.522
21232;0.461
21233;0.409
21311;0.613
21312;0.551
21313;0.500
21321;0.546
21322;0.484
21323;0.433
21331;0.413
21332;0.351
21333;0.300
22111;0.697
22112;0.635
22113;0.583
22121;0.630
22122;0.568
22123;0.516
22131;0.497
22132;0.435
22133;0.383
22211;0.601
22212;0.539
22213;0.488
22221;0.534
23322;0.237
23323;0.186
23331;0.166
23332;0.104
23333;0.053
31111;0.542
31112;0.481
31113;0.429
31121;0.475
31122;0.414
31123;0.362
31131;0.342
31132;0.281
31133;0.229
31211;0.447
31212;0.385
31213;0.334
31221;0.380
31222;0.318
31223;0.267
31231;0.247
31232;0.185
31233;0.134
31311;0.337
31312;0.276
33113;0.182
33121;0.229
33122;0.167
33123;0.115
33131;0.096
33132;0.034
33133;-0.018
33211;0.200
33212;0.138
33213;0.087
33221;0.133
33222;0.071
33223;0.020
33231;0.000
33232;-0.062
33233;-0.113
33311;0.091
33312;0.029
33313;-0.023
33321;0.024
33322;-0.038
33323;-0.090
33331;-0.109
33332;-0.171
33333;-0.223
